season	player_id	player	birth_year	pos	age	experience	lg	tm	g	mp	fg_per_36_min	fga_per_36_min	fg_percent	avg_dist_fga	percent_fga_from_x2p_range	percent_fga_from_x0_3_range	percent_fga_from_x3_10_range	percent_fga_from_x10_16_range	percent_fga_from_x16_3p_range	percent_fga_from_x3p_range	fg_percent_from_x2p_range	fg_percent_from_x0_3_range	fg_percent_from_x3_10_range	fg_percent_from_x10_16_range	fg_percent_from_x16_3p_range	fg_percent_from_x3p_range	percent_assisted_x2p_fg	percent_assisted_x3p_fg	percent_dunks_of_fga	num_of_dunks	percent_corner_3s_of_3pa	corner_3_point_percent
2023	4723	Ja Morant	NA	PG	23	4	NBA	MEM	61	1948	10.5	22.4	0.466	11.1	0.753	0.289	0.295	0.144	0.025	0.247	0.519	0.652	0.419	0.463	0.467	0.307	0.181	0.533	0.058	55	0.1	0.433
2023	5048	Jabari Smith Jr.	NA	PF	19	1	NBA	HOU	79	2451	5.3	13.1	0.408	16.2	0.562	0.155	0.178	0.12	0.109	0.438	0.487	0.725	0.39	0.458	0.34	0.307	0.648	0.883	0.054	42	0.176	0.348
2023	5049	Jabari Walker	NA	SF	20	1	NBA	POR	56	619	4.8	11.5	0.419	10.5	0.717	0.404	0.197	0.071	0.045	0.283	0.472	0.6	0.256	0.357	0.444	0.286	0.716	0.938	0.116	19	0.232	0.154
2023	5052	Jaden Hardy	NA	SG	20	1	NBA	DAL	48	708	7.4	16.9	0.438	15	0.532	0.279	0.138	0.057	0.057	0.468	0.469	0.548	0.435	0.263	0.368	0.404	0.422	0.825	0.024	7	0.231	0.472
2023	5053	Jaden Ivey	NA	SG	20	1	NBA	DET	74	2304	6.4	15.4	0.416	14.1	0.644	0.244	0.213	0.098	0.09	0.356	0.457	0.588	0.335	0.406	0.443	0.343	0.246	0.733	0.034	29	0.117	0.366
2023	4841	Jaden McDaniels	NA	SF	22	3	NBA	MIN	79	2416	5.5	10.7	0.517	12.5	0.624	0.288	0.215	0.088	0.034	0.376	0.588	0.752	0.461	0.444	0.375	0.398	0.658	0.991	0.115	72	0.506	0.419
2023	4412	Jakob Poeltl	NA	C	27	7	NBA	TOT	72	1906	7.3	11.7	0.629	4.8	0.998	0.494	0.366	0.138	0.002	0.002	0.63	0.761	0.518	0.471	0	0	0.656	NA	0.045	27	0	NA
2023	4412	Jakob Poeltl	NA	C	27	7	NBA	SAS	46	1199	7.2	11.6	0.616	4.9	0.997	0.5	0.343	0.152	0.003	0.003	0.618	0.768	0.481	0.441	0	0	0.598	NA	0.039	15	0	NA
2023	4630	Jalen Brunson	NA	PG	26	5	NBA	NYK	68	2379	8.9	18.1	0.491	12.9	0.731	0.149	0.331	0.172	0.079	0.269	0.519	0.612	0.504	0.471	0.511	0.416	0.166	0.575	0.002	2	0.205	0.424
2023	5055	Jalen Duren	NA	C	19	1	NBA	DET	67	1670	5.6	8.6	0.648	3.3	0.995	0.606	0.339	0.048	0.003	0.005	0.652	0.747	0.511	0.474	0	0	0.667	NA	0.412	153	0.5	0
2023	4946	Jalen Green	NA	SG	20	2	NBA	HOU	76	2602	7.8	18.8	0.417	15.2	0.592	0.202	0.212	0.079	0.099	0.408	0.471	0.591	0.406	0.467	0.37	0.338	0.351	0.572	0.046	53	0.128	0.324
2023	4947	Jalen Johnson	NA	SF	21	2	NBA	ATL	70	1042	5.5	11.1	0.491	11.2	0.677	0.398	0.189	0.043	0.047	0.323	0.587	0.719	0.41	0.429	0.333	0.288	0.625	1	0.152	42	0.442	0.283
2023	4725	Jalen McDaniels	NA	SF	25	4	NBA	TOT	80	1913	5.3	11.6	0.455	12.4	0.624	0.316	0.214	0.078	0.016	0.376	0.53	0.646	0.417	0.396	0.4	0.332	0.578	0.974	0.076	37	0.392	0.33
2023	4725	Jalen McDaniels	NA	SF	25	4	NBA	CHO	56	1494	5.3	11.9	0.447	13.1	0.591	0.298	0.206	0.071	0.016	0.409	0.534	0.673	0.392	0.4	0.375	0.322	0.526	0.969	0.073	29	0.376	0.329
2023	4845	Jalen Smith	NA	PF	22	3	NBA	IND	68	1279	6.8	14.3	0.476	12.5	0.624	0.352	0.185	0.037	0.049	0.376	0.593	0.765	0.404	0.158	0.4	0.283	0.734	1	0.085	42	0.304	0.276
2023	4948	Jalen Suggs	NA	PG	21	2	NBA	ORL	53	1246	5.4	12.8	0.419	15.8	0.545	0.23	0.162	0.077	0.077	0.455	0.496	0.588	0.472	0.324	0.441	0.327	0.317	0.712	0.016	5	0.134	0.407
2023	5056	Jalen Williams	NA	SG	21	1	NBA	OKC	75	2276	6.5	12.6	0.521	10.4	0.742	0.377	0.246	0.073	0.047	0.258	0.579	0.726	0.436	0.448	0.351	0.356	0.416	0.904	0.106	77	0.146	0.367
2023	4413	Jamal Murray	NA	PG	25	6	NBA	DEN	65	2133	8	17.6	0.454	16.5	0.585	0.147	0.161	0.134	0.143	0.415	0.494	0.673	0.44	0.46	0.403	0.398	0.329	0.605	0.019	18	0.123	0.491
2023	3880	James Harden	NA	PG	33	14	NBA	PHI	58	2135	6.3	14.2	0.441	16.6	0.504	0.165	0.19	0.106	0.043	0.496	0.495	0.612	0.419	0.438	0.528	0.385	0.129	0.416	0.001	1	0.05	0.429
2023	4846	James Wiseman	NA	C	21	2	NBA	TOT	45	867	7.8	14.1	0.558	6.6	0.941	0.372	0.419	0.091	0.056	0.059	0.58	0.738	0.542	0.323	0.263	0.2	0.719	1	0.248	75	0.05	0
2023	4255	JaMychal Green	NA	PF	32	9	NBA	GSW	57	797	6.1	11.4	0.54	12.8	0.56	0.345	0.171	0.016	0.028	0.44	0.667	0.701	0.674	0.5	0.286	0.378	0.66	1	0.246	52	0.387	0.372
2023	4632	Jaren Jackson Jr.	NA	C	23	5	NBA	MEM	63	1787	8.4	16.6	0.506	11.4	0.657	0.304	0.319	0.028	0.006	0.343	0.585	0.704	0.496	0.348	0.4	0.355	0.595	0.96	0.112	83	0.209	0.322
2023	4634	Jarred Vanderbilt	NA	PF	23	5	NBA	TOT	78	1879	4.7	8.6	0.548	7.7	0.8	0.479	0.282	0.031	0.009	0.2	0.604	0.718	0.449	0.214	0.75	0.322	0.679	1	0.213	90	0.878	0.354
2023	4634	Jarred Vanderbilt	NA	PF	23	5	NBA	UTA	52	1254	5	8.9	0.556	7.8	0.817	0.447	0.318	0.042	0.01	0.183	0.606	0.755	0.444	0.231	0.667	0.333	0.682	1	0.206	61	0.895	0.373
2023	4515	Jarrett Allen	NA	C	24	6	NBA	CLE	68	2220	6.5	10.2	0.644	4.4	0.984	0.575	0.307	0.075	0.027	0.016	0.653	0.764	0.51	0.511	0.294	0.1	0.774	1	0.319	179	0.6	0
