season,player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
2023,Cole Anthony,PG,6.4,14.1,0.454,14.7,0.662,0.143,0.249,0.151,0.12,0.338,0.5,0.364,0.248,0.733,0.023,0.083,0.353
2023,Corey Kispert,SF,5,10.1,0.497,18.8,0.344,0.179,0.125,0.029,0.01,0.656,0.637,0.424,0.766,0.982,0.029,0.224,0.488
2023,Cory Joseph,PG,4.4,10.3,0.427,17.3,0.487,0.1,0.217,0.097,0.074,0.513,0.468,0.389,0.25,0.771,0,0.178,0.406
2023,D'Angelo Russell,PG,7,14.8,0.469,17.6,0.483,0.129,0.137,0.133,0.084,0.517,0.548,0.396,0.315,0.68,0,0.102,0.4
2023,D'Angelo Russell,PG,6.8,14.7,0.465,17.8,0.479,0.118,0.124,0.147,0.089,0.521,0.546,0.391,0.311,0.649,0,0.113,0.349
2023,Daishen Nix,PG,3.2,9.3,0.342,17.4,0.409,0.19,0.194,0.004,0.021,0.591,0.423,0.286,0.439,0.825,0.013,0.15,0.238
2023,Damian Lillard,PG,9.5,20.5,0.463,17.9,0.453,0.235,0.109,0.05,0.058,0.547,0.574,0.371,0.157,0.516,0.012,0.058,0.395
2023,Damion Lee,SG,4.8,10.8,0.442,17.5,0.454,0.122,0.144,0.126,0.062,0.546,0.439,0.445,0.7,0.991,0.004,0.393,0.495
2023,Daniel Gafford,C,6.5,8.9,0.732,3.2,1,0.592,0.367,0.025,0.015,0,0.732,NA,0.668,NA,0.362,NA,NA
2023,Danuel House Jr.,SF,4.1,8.8,0.472,15.9,0.442,0.289,0.086,0.03,0.036,0.558,0.644,0.336,0.75,0.946,0.071,0.482,0.358
2023,Dario Šarić,PF,5.7,12.4,0.458,14,0.585,0.242,0.224,0.072,0.047,0.415,0.506,0.391,0.671,1,0.004,0.252,0.448
2023,Darius Garland,PG,7.7,16.6,0.462,15.1,0.635,0.17,0.229,0.134,0.102,0.365,0.492,0.41,0.286,0.58,0.004,0.09,0.378
2023,David Roddy,PF,5.2,12,0.429,14.5,0.495,0.271,0.183,0.026,0.014,0.505,0.553,0.307,0.609,0.969,0.057,0.415,0.341
2023,Davion Mitchell,PG,4.5,9.9,0.454,16.4,0.506,0.213,0.13,0.058,0.105,0.494,0.584,0.32,0.449,0.873,0.005,0.193,0.316
2023,De'Aaron Fox,PG,10.1,19.7,0.512,13.5,0.724,0.171,0.251,0.194,0.108,0.276,0.584,0.324,0.16,0.613,0.033,0.128,0.255
2023,De'Andre Hunter,SF,6.4,13.9,0.461,14.6,0.652,0.159,0.179,0.197,0.117,0.348,0.521,0.35,0.588,0.91,0.044,0.413,0.39
2023,De'Anthony Melton,PG,4.6,10.9,0.425,18,0.381,0.186,0.131,0.037,0.028,0.619,0.484,0.39,0.483,0.879,0.011,0.246,0.374
2023,Deandre Ayton,C,9.2,15.7,0.589,7.7,0.973,0.313,0.352,0.223,0.085,0.027,0.597,0.292,0.792,0.857,0.131,0,NA
2023,Dejounte Murray,SG,8.2,17.6,0.464,14.6,0.707,0.159,0.158,0.232,0.158,0.293,0.514,0.344,0.194,0.729,0.016,0.225,0.437
2023,Delon Wright,PG,4.1,8.6,0.474,14.4,0.591,0.196,0.299,0.062,0.034,0.409,0.564,0.345,0.268,0.854,0.014,0.244,0.345
2023,DeMar DeRozan,SF,8.8,17.5,0.504,13.7,0.891,0.165,0.125,0.263,0.338,0.109,0.526,0.324,0.244,0.848,0.023,0.31,0.318
2023,Deni Avdija,SF,4.5,10.3,0.437,13.3,0.599,0.278,0.263,0.038,0.021,0.401,0.53,0.297,0.538,0.942,0.057,0.241,0.339
2023,Dennis Schröder,PG,4.9,11.8,0.415,14.4,0.654,0.168,0.208,0.18,0.098,0.346,0.461,0.329,0.25,0.905,0,0.258,0.345
2023,Dennis Smith Jr.,PG,4.8,11.7,0.412,11.4,0.754,0.33,0.232,0.093,0.1,0.246,0.475,0.216,0.42,0.958,0.053,0.225,0.28
2023,Derrick Jones Jr.,SF,4.6,9.3,0.5,9.7,0.652,0.548,0.096,0.009,0,0.348,0.587,0.338,0.739,1,0.178,0.6,0.375
2023,Derrick White,SG,5.4,11.8,0.462,16.1,0.484,0.16,0.22,0.08,0.024,0.516,0.548,0.381,0.502,0.899,0.018,0.284,0.387
2023,Desmond Bane,SG,8.8,18.4,0.479,14.8,0.567,0.229,0.21,0.071,0.056,0.433,0.534,0.408,0.521,0.729,0.007,0.15,0.508
