player,pos,fga_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,pts_per_36_min
Marc Gasol,C,14.4,8.4,4.1,0.9,1.8,18.9
Marcin Gortat,C,11.4,10.5,1.4,0.7,1.6,14.7
Marcus Morris,PF,13.4,6.8,2.3,1.1,0.3,14.9
Marcus Smart,PG,9.5,4.4,4.1,2,0.4,10.4
Mario Chalmers,PG,10.1,3.1,4.7,1.9,0.2,12.4
Markieff Morris,PF,15.3,7.1,2.7,1.4,0.5,17.5
Marreese Speights,C,19.3,9.7,2.1,0.6,1,23.6
Marvin Williams,PF,8.8,6.8,1.8,1.2,0.6,10.2
Mason Plumlee,C,10.1,10.6,1.5,1.3,1.3,14.8
Matt Barnes,SF,9.9,4.8,1.8,1.1,0.8,12.1
Matt Bonner,PF,8.9,4.4,1.8,0.4,0.5,10.2
Matthew Dellavedova,SG,8,3.3,5.3,0.6,0.1,8.3
Michael Carter-Williams,PG,15.4,5.9,7.4,1.9,0.5,16.2
Mike Conley,PG,14.3,3.4,6.1,1.4,0.2,17.9
Mike Dunleavy,SF,9.4,4.9,2.2,0.8,0.4,11.7
Mike Scott,PF,14.5,6.4,2.4,0.8,0.1,17
Miles Plumlee,C,7.7,9.6,1,1.2,2,8.9
Mo Williams,PG,15.6,3.2,7.7,0.8,0.3,17.5
Monta Ellis,SG,18.1,2.5,4.4,2,0.3,20.2
Nenê,PF,12.8,7.3,2.6,1.4,0.5,15.7
Nerlens Noel,C,10.2,9.5,2,2.1,2.2,11.6
Nick Collison,PF,8.3,8.2,2.9,1.1,0.8,8.9
Nicolas Batum,SF,9.1,6.3,5.2,1.2,0.6,10
Nik Stauskas,SG,9.5,2.8,2.1,0.6,0.5,10.2
Nikola Mirotić,PF,13.6,8.8,2.1,1.2,1.2,18.1
Nikola Vučević,C,17.2,11.5,2.1,0.8,0.8,20.3
Norris Cole,PG,11,3.1,5,1.1,0.3,11.3
O.J. Mayo,SG,14.9,4,4.2,1.2,0.4,17.1
Ömer Aşık,C,7.5,13.6,1.3,0.5,1,10.1
Omri Casspi,SF,10.9,6.6,2.6,0.8,0.2,15.1
Otto Porter Jr.,SF,9.8,5.6,1.6,1.1,0.8,11.2
P.J. Tucker,SF,9,7.6,1.8,1.6,0.3,10.8
Pablo Prigioni,PG,6.9,3.6,5.1,2.4,0,8.2
Patrick Patterson,PF,8.9,7.2,2.6,1,0.7,10.8
Pau Gasol,PF,15.5,12.3,2.8,0.3,2,19.4
