season	player_id	player	birth_year	pos	age	experience	
lg	tm	g	gs	mp	fg_per_36_min	fga_per_36_min	
fg_percent	x3p_per_36_min	x3pa_per_36_min	x3p_percent	
x2p_per_36_min	x2pa_per_36_min	x2p_percent	ft_per_36_min	
fta_per_36_min	ft_percent	orb_per_36_min	drb_per_36_min	
trb_per_36_min	ast_per_36_min	stl_per_36_min	blk_per_36_min	
tov_per_36_min	pf_per_36_min	pts_per_36_min
2015	3731	Aaron Brooks	NA	PG	30	7	NBA	CHI	
12.3	0.453	4.3	5.7	0.76	1.6	2.9	4.5	2.1	1	
0.6	2.1	2.3	16.8
2015	4066	Anthony Davis	NA	PF	21	3	NBA	NOP	
68	68	2455	9.4	17.6	0.535	0	0.2	0.083	9.4	
17.4	0.54	5.4	6.8	0.805	2.5	7.7	10.2	2.2	1.5	
2.9	1.4	2.1	24.3
2015	3796	Anthony Morrow	NA	SG	29	7	NBA	OKC	
74	0	1806	5.7	12.3	0.463	2.8	6.5	0.434	2.9	
5.8	0.497	1.6	1.8	0.888	0.8	3.1	3.9	1.2	1.1	
0.2	0.8	2.7	15.7
2015	3798	Anthony Tolliver	NA	PF	29	7	NBA	
TOT	76	11	1432	4	9.9	0.41	2.7	7.3	
0.366	1.4	2.6	0.534	1.4	1.7	0.783	1.3	4.7	5.9	
1.5	0.6	0.4	1.3	3.4	12.1
2015	4068	Aron Baynes	NA	C	28	3	NBA	SAS	
70	17	1122	5.9	10.5	0.566	0	0.1	0.25	5.9	
10.4	0.57	2.9	3.3	0.865	3.5	6.7	10.2	1.1	0.5	
0.7	2.1	5.2	14.8
2015	3737	Arron Afflalo	NA	SG	29	8	NBA	TOT	
78	72	2502	5.4	12.7	0.424	1.7	4.8	0.354	3.7	
7.9	0.466	2.4	2.8	0.843	0.4	3.2	3.6	1.9	0.6	
0.1	1.7	2.4	14.9
2015	4069	Austin Rivers	NA	PG-SG	22	3	NBA	TOT	
76	5	1563	4.7	11.4	0.409	0.9	3	0.298	3.8	
8.4	0.449	2	2.9	0.675	0.6	2.9	3.5	3.6	1.1	
0.3	1.5	3.4	12.2
2015	3918	Avery Bradley	NA	SG	24	5	NBA	BOS	
77	77	2428	6.4	15	0.429	1.8	5.2	0.352	4.6	
9.8	0.47	1.2	1.5	0.79	0.7	2.9	3.6	2	1.2	
0.2	1.6	2.6	15.9
2015	4148	Ben McLemore	NA	SG	21	2	NBA	SAC	
82	82	2670	4.9	11.2	0.437	1.9	5.3	0.358	3	
5.9	0.507	1.8	2.2	0.813	0.4	2.8	3.2	1.9	1	
0.3	1.9	3	13.4
2015	3506	Beno Udrih	NA	PG	32	11	NBA	MEM	
79	12	1494	5.9	12.2	0.487	0.6	2.3	0.268	5.3	
9.8	0.539	2.1	2.5	0.853	0.5	3	3.4	5.3	1.1	
0.2	2.1	2.1	14.6
2015	3984	Bismack Biyombo	NA	C	22	4	NBA	CHO	
64	21	1243	2.9	5.4	0.543	0	0	NA	2.9	
5.4	0.543	3	5.1	0.583	4.6	7.2	11.8	0.5	0.5	
2.9	1.5	4.1	8.8
2015	3920	Blake Griffin	NA	PF	25	5	NBA	LAC	
67	67	2356	8.8	17.5	0.502	0.2	0.4	0.4	8.6	
17.1	0.504	4.8	6.5	0.728	1.9	5.8	7.8	5.4	1	
0.5	2.3	3	22.4
2015	4224	Bojan Bogdanović	NA	SF	25	1	NBA	
BRK	78	28	1854	5.1	11.2	0.453	1.8	5	
0.355	3.3	6.2	0.531	1.7	2.1	0.821	1	3.2	4.1	
1.3	0.7	0.2	1.5	2	13.6
2015	3431	Boris Diaw	NA	PF	32	12	NBA	SAS	
81	15	1984	5.3	11.5	0.46	1	3.1	0.32	4.3	
8.4	0.512	1.3	1.7	0.774	1.4	4.9	6.3	4.2	0.7	
0.4	2.3	2.7	12.8
2015	4072	Bradley Beal	NA	SG	21	3	NBA	WAS	
63	59	2107	6.2	14.5	0.427	1.8	4.4	0.409	4.4	
10.1	0.434	2.2	2.8	0.783	1	3.1	4.1	3.3	1.3	
0.3	2.1	2.3	16.4
2015	3739	Brandan Wright	NA	PF	27	7	NBA	TOT	
75	7	1449	5.8	9	0.642	0	0.1	0	5.8	
8.9	0.647	1.9	2.8	0.696	3.2	4.8	8	1	1.2	
2.3	0.8	2.5	13.5
2015	3581	Brandon Bass	NA	PF	29	10	NBA	BOS	
82	43	1929	6.4	12.7	0.504	0.2	0.6	0.281	6.3	
12.1	0.515	3.2	4	0.79	2.6	4.8	7.4	1.9	0.8	
0.6	1.5	2.6	16.2
2015	3985	Brandon Knight	NA	PG-SG	23	4	NBA	TOT	
63	61	2035	6.6	15.7	0.422	2.2	5.7	0.389	4.4	
10	0.441	3.4	3.9	0.874	0.5	3.8	4.3	5.8	1.6	
0.2	3.3	2	18.9
2015	4073	Brian Roberts	NA	PG	29	3	NBA	CHO	
72	10	1330	4.8	12.2	0.389	1.7	5.2	0.321	3.1	
7	0.44	1.8	2	0.892	0.4	2.6	3	4.4	0.9	
0.2	1.5	2	13
2015	3801	Brook Lopez	NA	C	26	7	NBA	BRK	
72	44	2100	8.7	16.9	0.513	0	0.2	0.1	8.7	
16.7	0.517	3.8	4.7	0.814	3.7	5.5	9.2	0.9	0.7	
2.2	1.8	3.5	21.2
2015	3582	C.J. Miles	NA	SG	27	10	NBA	IND	
70	40	1841	6.4	16.2	0.398	3	8.7	0.345	3.4	
7.5	0.459	2.5	3.1	0.807	0.4	3.8	4.2	1.5	1.2	
0.5	1.4	2.6	18.4
2015	3741	Carl Landry	NA	PF	31	8	NBA	SAC	
70	15	1192	5.7	11.1	0.515	0	0	NA	5.7	
11.1	0.515	3.7	4.5	0.82	3	5.1	8.1	0.8	0.5	
0.5	1.6	4	15.2
2015	3369	Carlos Boozer	NA	PF	33	13	NBA	LAL	
71	26	1692	7.9	15.8	0.499	0	0	NA	7.9	
15.8	0.499	2	3.2	0.627	2.4	7.9	10.3	2	0.9	
0.3	2	3.9	17.8
2015	3370	Caron Butler	NA	SF	34	13	NBA	DET	
78	21	1623	3.6	8.8	0.407	1.8	4.9	0.379	1.7	
3.9	0.441	1.2	1.4	0.902	0.5	3.9	4.3	1.8	1	
0.1	1.1	2.7	10.2
2015	3987	Chandler Parsons	NA	SF	26	4	NBA	
DAL	66	66	2186	6.3	13.7	0.462	2.2	5.7	0.38	
4.1	7.9	0.521	2.3	3.2	0.72	1.1	4.3	5.3	2.7	
1.1	0.3	1.6	2.3	17.1
2015	3583	Channing Frye	NA	PF	31	9	NBA	ORL	
75	51	1870	3.7	9.4	0.392	2.6	6.7	0.393	1.1	
2.7	0.39	0.6	0.7	0.886	0.5	5.1	5.6	1.8	0.9	
0.8	1.5	3.7	10.6
2015	3584	Charlie Villanueva	NA	PF	30	10	NBA	
DAL	64	1	678	8	19.2	0.414	4.4	11.7	
0.376	3.6	7.5	0.475	1.1	1.9	0.571	1.6	6.3	7.9	
1	0.8	1.2	1.5	3.4	21.4
2015	3864	Chase Budinger	NA	SF	26	6	NBA	MIN	
67	4	1286	4.7	10.9	0.433	1.5	4	0.364	3.3	
6.9	0.474	1.9	2.3	0.827	0.9	4.6	5.5	1.8	1.2	
0.3	1.4	2	12.8
2015	3437	Chris Kaman	NA	C	32	12	NBA	POR	
74	13	1398	7.3	14.1	0.515	0	0	NA	7.3	
14.1	0.515	1.9	2.6	0.706	3.8	8.6	12.5	1.7	0.5	
1.4	2.8	3.6	16.4
2015	3585	Chris Paul	NA	PG	29	10	NBA	LAC	
82	82	2857	7.2	14.7	0.485	1.8	4.4	0.398	5.4	
10.3	0.523	3.6	4	0.9	0.7	4.1	4.7	10.6	2	
0.2	2.4	2.6	19.7
2015	3745	Corey Brewer	NA	SF	28	8	NBA	TOT	
80	17	2087	5.9	13.9	0.426	1.1	4.1	0.268	4.8	
9.8	0.491	2.9	3.9	0.743	1.4	3.7	5.1	3	2	
0.3	2.3	3	15.8
2015	3992	Cory Joseph	NA	PG	23	4	NBA	SAS	
79	14	1444	5.2	10.2	0.504	0.4	1.1	0.364	4.8	
9.1	0.52	2.6	3.6	0.734	1.1	3.7	4.8	4.7	1.1	
0.4	1.7	2.6	13.3
2015	3804	Courtney Lee	NA	SG	29	7	NBA	MEM	
77	74	2354	4.4	9.8	0.448	1.4	3.4	0.402	3	
6.4	0.473	1.7	2	0.86	0.3	2.4	2.7	2.3	1.1	
0.2	1.2	2	11.9
2015	3805	D.J. Augustin	NA	PG	27	7	NBA	TOT	
82	14	1964	4.7	11.9	0.399	1.5	4.5	0.337	3.2	
7.4	0.436	3.3	3.8	0.868	0.4	2.6	3	6.5	0.9	
0.1	2.7	1.7	14.2
2015	4077	Damian Lillard	NA	PG	24	3	NBA	POR	
82	82	2925	7.3	16.7	0.434	2.4	7	0.343	4.8	
9.7	0.5	4.2	4.9	0.864	0.6	4	4.7	6.2	1.2	
0.3	2.7	2	21.2
2015	4232	Damjan Rudež	NA	SF	28	1	NBA	IND	
68	2	1047	4.1	9	0.452	2.4	5.8	0.406	1.7	
3.2	0.538	0.6	0.8	0.696	0.3	1.3	1.6	1.8	0.6	
0.2	1.6	2.7	11.1
2015	3867	Danny Green	NA	SG	27	6	NBA	SAS	
81	80	2312	5	11.5	0.436	3	7.1	0.418	2	
4.4	0.466	1.7	2	0.874	0.8	4.5	5.3	2.5	1.6	
1.4	1.4	2.5	14.7
2015	3868	Dante Cunningham	NA	PF	27	6	NBA	
NOP	66	27	1652	3.4	7.4	0.457	0	0.2	0.1	
3.4	7.2	0.468	0.6	1	0.617	1.5	4.1	5.6	1.1	
1	0.8	0.8	2.2	7.4
2015	4233	Dante Exum	NA	PG	19	1	NBA	UTA	
82	41	1817	2.9	8.2	0.349	1.6	5.2	0.314	1.2	
3	0.408	0.4	0.6	0.625	0.5	2.1	2.6	3.9	0.8	
0.3	2.3	2.9	7.8
2015	3442	David West	NA	PF	34	12	NBA	IND	
66	66	1895	6.1	13	0.471	0.1	0.4	0.2	6.1	
12.7	0.479	2.3	3.1	0.739	2.1	6.5	8.5	4.2	0.9	
0.9	2.3	3	14.6
2015	3810	DeAndre Jordan	NA	C	26	7	NBA	LAC	
82	82	2820	4.8	6.8	0.71	0	0.1	0.25	4.8	
6.8	0.713	2.4	6	0.397	5.1	10.6	15.7	0.8	1	
2.3	1.4	3.1	12.1
2015	3873	DeMarre Carroll	NA	SF	28	6	NBA	ATL	
70	69	2189	5.2	10.7	0.487	2	5	0.395	3.3	
5.7	0.567	2.1	3	0.702	1.6	4.5	6.1	1.9	1.5	
0.3	1.2	2.5	14.5
2015	4157	Dennis Schröder	NA	PG	21	2	NBA	ATL	
77	10	1516	6.7	15.8	0.427	1.2	3.5	0.351	5.5	
12.3	0.449	3.5	4.3	0.827	0.7	3.2	3.9	7.5	1.2	
0.1	3.6	3	18.2
2015	3592	Deron Williams	NA	PG	30	10	NBA	BRK	
68	55	2114	5.1	13.1	0.387	1.5	4	0.367	3.6	
9.1	0.395	3.4	4.1	0.834	0.5	3.5	4	7.6	1.1	
0.3	2.6	2.7	15.1
2015	3928	Derrick Favors	NA	PF	23	5	NBA	UTA	
74	74	2280	7.6	14.5	0.525	0	0.1	0.167	7.6	
14.4	0.527	3.5	5.2	0.669	3.1	6.5	9.6	1.8	0.9	
1.9	1.9	3.3	18.7
2015	4001	Derrick Williams	NA	PF	23	4	NBA	
SAC	74	6	1462	5.3	11.9	0.447	1.2	3.8	
0.314	4.1	8.1	0.511	3.3	4.8	0.684	1	4	5	
1.2	0.8	0.1	1.4	1.6	15.2
2015	3517	Devin Harris	NA	PG	31	11	NBA	DAL	
76	3	1685	4.7	11.2	0.418	2	5.7	0.357	2.6	
5.5	0.481	2.8	3.5	0.815	0.3	2.6	2.9	5.1	1.7	
0.3	1.8	3.1	14.2
2015	4082	Dion Waiters	NA	SG	23	3	NBA	TOT	
80	23	2208	6.1	15.4	0.396	1.2	4	0.297	4.9	
11.4	0.431	1.9	2.8	0.68	0.7	2.5	3.1	2.7	1.5	
0.3	1.8	2.5	15.3
2015	3116	Dirk Nowitzki	NA	PF	36	17	NBA	DAL	
77	77	2282	7.7	16.8	0.459	1.6	4.3	0.38	6	
12.4	0.486	4	4.6	0.882	0.7	6.5	7.2	2.3	0.6	
0.5	1.3	2.5	21
2015	4083	Donatas Motiejūnas	NA	PF	24	3	NBA	
HOU	71	62	2037	6.2	12.4	0.504	0.9	2.4	
0.368	5.4	10	0.536	1.8	2.9	0.602	2.4	5	7.4	
2.3	1	0.6	2.2	3.6	15.1
2015	4085	Draymond Green	NA	PF	24	3	NBA	GSW	
79	79	2490	4.9	11.1	0.443	1.6	4.8	0.337	3.3	
6.3	0.523	1.9	2.9	0.66	1.6	7.7	9.4	4.2	1.8	
1.4	1.9	3.7	13.3
2015	3932	Ed Davis	NA	PF	25	5	NBA	LAL	
79	24	1840	5.5	9.2	0.601	0	0	NA	5.5	
9.2	0.601	1.8	3.7	0.487	4.5	7.2	11.7	1.8	1	
1.9	1.1	4	12.8
2015	4240	Elfrid Payton	NA	PG	20	1	NBA	ORL	
82	63	2489	4.4	10.2	0.425	0.2	0.6	0.262	4.2	
9.6	0.435	1.7	3.1	0.551	1.5	3.5	5	7.7	2.1	
0.3	2.9	2.8	10.6
2015	4006	Enes Freedom	NA	C	22	4	NBA	TOT	
75	74	2135	8.1	15.6	0.519	0.3	0.8	0.356	7.9	
14.9	0.528	3.1	3.9	0.782	4.7	6.6	11.3	0.9	0.6	
0.5	2.4	3.2	19.6
2015	3934	Eric Bledsoe	NA	PG	25	5	NBA	PHO	
81	81	2800	6	13.4	0.447	1.1	3.5	0.324	4.9	
10	0.491	4.5	5.7	0.8	0.9	4.5	5.4	6.3	1.6	
0.6	3.5	2.4	17.7
2015	3936	Evan Turner	NA	SG	26	5	NBA	BOS	
82	57	2260	5.1	11.9	0.429	0.5	1.9	0.277	4.6	
10	0.458	1.7	2.2	0.752	0.6	6	6.6	7.2	1.3	
0.3	3.2	2.9	12.4
2015	3604	Gerald Green	NA	SG	29	8	NBA	PHO	
74	4	1446	8.1	19.4	0.416	3.4	9.6	0.354	4.7	
9.7	0.478	2.5	3	0.825	0.8	3.8	4.6	2.3	1	
0.3	2.6	3.6	22
2015	3878	Gerald Henderson	1987	SG	27	6	NBA	
CHO	80	72	2315	5.8	13.2	0.437	0.7	2.1	
0.331	5.1	11.1	0.457	2.9	3.4	0.848	0.6	3.7	4.2	
3.2	0.8	0.3	1.7	2.1	15.1
2015	4164	Giannis Antetokounmpo	NA	SG	20	2	NBA	
MIL	81	71	2541	5.4	11.1	0.491	0.1	0.6	
0.159	5.3	10.4	0.511	3.6	4.9	0.741	1.4	6.3	7.7	
2.9	1	1.2	2.5	3.6	14.6
2015	3754	Glen Davis	NA	PF	29	8	NBA	LAC	
74	0	904	4.7	10.2	0.459	0	0.2	0	4.7	
10	0.466	2.4	3.8	0.632	1.7	5	6.7	1.6	1.6	
0.8	1.6	5.3	11.7
2015	3817	Goran Dragić	NA	SG-PG	28	7	NBA	TOT	
78	78	2640	6.8	13.7	0.501	1.2	3.5	0.347	5.6	
10.1	0.555	2.5	3.2	0.774	1.1	2.6	3.7	4.8	1.1	
0.2	2.4	2.7	17.4
2015	3941	Gordon Hayward	NA	SF	24	5	NBA	UTA	
76	76	2618	6.7	14.9	0.445	1.7	4.5	0.364	5	
10.4	0.481	5.2	6.4	0.812	0.7	4.4	5.1	4.3	1.5	
0.4	2.8	1.8	20.1
2015	4167	Gorgui Dieng	NA	C	25	2	NBA	MIN	
73	49	2193	4.3	8.4	0.506	0	0.1	0.167	4.2	
8.3	0.51	3.1	4	0.783	3.7	6.3	10	2.4	1.2	
2.1	2.1	3.1	11.7
2015	3942	Greg Monroe	NA	PF	24	5	NBA	DET	
69	57	2137	7.1	14.4	0.496	0	0	NA	7.1	
14.4	0.496	4.2	5.7	0.75	3.9	8	11.9	2.4	1.3	
0.6	2.5	2.5	18.5
2015	3943	Greivis Vásquez	NA	PG	28	5	NBA	TOR	
82	29	1991	5.4	13.1	0.408	2.4	6.3	0.379	2.9	
6.8	0.436	0.9	1.2	0.758	0.4	3.5	3.9	5.5	0.8	
0.2	2.2	3.2	14
2015	4089	Harrison Barnes	NA	SF	22	3	NBA	GSW	
82	82	2318	4.9	10.2	0.482	1.4	3.3	0.405	3.6	
6.8	0.519	1.7	2.3	0.72	1.8	5.2	7	1.8	0.9	
0.3	1.1	2.3	12.8
2015	4090	Henry Sims	NA	C	24	3	NBA	PHI	
73	32	1399	6.1	12.9	0.474	0.1	0.6	0.182	6	
12.4	0.488	2.7	3.5	0.774	3.1	6.1	9.2	2	1	
0.8	2.5	3.5	15.1
2015	4168	Hollis Thompson	NA	SG	23	2	NBA	PHI	
71	23	1776	4.5	11	0.413	2.3	5.8	0.401	2.2	
5.2	0.426	1.3	1.8	0.708	1.1	2.9	4	1.7	1.2	
0.5	1.3	2.9	12.7
2015	4012	Isaiah Thomas	NA	PG	25	4	NBA	TOT	
67	1	1726	7	16.6	0.42	2.7	7.2	0.373	4.3	
9.4	0.457	6.3	7.3	0.868	0.7	2.5	3.2	5.9	1.2	
0.1	3	3.1	23
2015	3673	J.J. Barea	NA	PG	30	9	NBA	DAL	
77	10	1362	5.9	14.2	0.42	1.4	4.4	0.323	4.5	
9.8	0.463	2	2.5	0.809	0.6	2.9	3.5	7	0.9	
0	1.9	2.7	15.3
2015	3821	J.J. Hickson	NA	C	26	7	NBA	DEN	
73	8	1411	5.6	11.7	0.475	0	0.1	0	5.6	
11.7	0.477	3	5.1	0.577	3.8	7.7	11.5	1.5	0.9	
0.9	2.4	3.5	14.1
2015	3674	J.J. Redick	NA	SG	30	9	NBA	LAC	
78	78	2409	6.7	14	0.477	3	6.8	0.437	3.7	
7.2	0.515	2.7	3	0.901	0.3	2.2	2.5	2	0.6	
0.1	1.4	2	19.1
2015	3527	J.R. Smith	NA	SG	29	11	NBA	TOT	
70	51	2080	5.5	13.1	0.417	2.8	7.4	0.383	2.6	
5.7	0.462	0.9	1.2	0.75	0.5	3.3	3.8	3.4	1.4	
0.4	1.7	2.8	14.7
2015	4091	Jae Crowder	NA	SF	24	3	NBA	TOT	
82	17	1647	5	11.9	0.42	1.3	4.5	0.293	3.7	
7.4	0.499	2.4	3.1	0.773	1.6	4.8	6.4	2.1	1.6	
0.5	1.1	3	13.7
2015	4251	JaKarr Sampson	NA	SF	21	1	NBA	PHI	
74	32	1131	4.6	11	0.422	1	4	0.244	3.7	
7	0.525	2	3	0.67	1.1	4.1	5.2	2.5	1.2	
0.8	2.4	4.3	12.3
2015	3258	Jamal Crawford	NA	SG	34	15	NBA	LAC	
64	4	1703	7	17.7	0.396	2.5	7.7	0.327	4.5	
10	0.448	4.8	5.3	0.901	0.4	2.2	2.6	3.3	1.2	
0.3	1.9	2.3	21.4
2015	3530	Jameer Nelson	NA	PG	32	11	NBA	TOT	
63	29	1407	5.2	12.9	0.407	2.3	6.6	0.345	3	
6.3	0.472	0.6	0.9	0.667	0.8	2.9	3.7	6.5	1.2	
0.2	2.8	3.5	13.4
2015	3880	James Harden	NA	SG	25	6	NBA	HOU	
81	81	2981	7.8	17.8	0.44	2.5	6.7	0.375	5.3	
11	0.48	8.6	10	0.868	0.9	4.6	5.5	6.8	1.9	
0.7	3.9	2.5	26.8
2015	3881	James Johnson	NA	PF	27	6	NBA	TOR	
70	17	1370	6.3	10.6	0.589	0.3	1.3	0.216	6	
9.3	0.643	1.8	2.7	0.657	1.6	5.2	6.8	2.5	1.4	
1.8	2.1	4.1	14.6
2015	3758	Jared Dudley	NA	SG	29	8	NBA	MIL	
72	22	1717	4.2	8.9	0.468	1.6	4	0.385	2.6	
4.8	0.537	1	1.4	0.716	0.9	3.7	4.6	2.7	1.5	
0.2	1.3	2.4	10.9
2015	3608	Jarrett Jack	NA	PG	31	10	NBA	BRK	
80	27	2241	5.8	13.1	0.439	0.6	2.3	0.267	5.1	
10.8	0.477	3.2	3.6	0.881	0.3	3.6	3.9	6	1.2	
0.2	3.1	2.3	15.4
2015	3759	Jason Smith	NA	C	28	7	NBA	NYK	
82	31	1785	5.2	11.9	0.434	0.3	0.8	0.357	4.9	
11.1	0.44	2.6	3.1	0.83	2	4.6	6.5	2.8	0.6	
0.9	2.1	4.1	13.2
2015	3194	Jason Terry	NA	SG	37	16	NBA	HOU	
77	18	1641	4.1	9.8	0.422	2.8	7.1	0.39	1.4	
2.7	0.504	0.9	1.1	0.813	0.3	2.3	2.7	3.2	1.4	
0.4	1.6	2.5	11.9
2015	3823	Jason Thompson	NA	PF	28	7	NBA	SAC	
81	63	1991	3.6	7.7	0.47	0	0	0	3.6	
7.7	0.471	1.6	2.6	0.622	2.5	7.1	9.6	1.5	0.6	
1	1.5	4.3	8.9
2015	3761	Jeff Green	NA	SF	28	7	NBA	TOT	
78	70	2454	6.1	14.2	0.43	1.4	4.3	0.332	4.7	
9.9	0.473	3.5	4.2	0.833	0.9	3.9	4.8	2	0.8	
0.5	1.6	2.2	17.1
2015	3884	Jeff Teague	NA	PG	26	6	NBA	ATL	
73	72	2228	6.6	14.3	0.46	1.1	3.3	0.343	5.4	
11	0.496	4.4	5.2	0.862	0.5	2.5	3	8.3	2	
0.5	3.3	2.2	18.8
2015	4257	Jerami Grant	NA	SF	20	1	NBA	PHI	
65	11	1377	3.2	9.2	0.352	1.3	4.1	0.314	2	
5.1	0.383	3	5	0.591	1.3	3.9	5.2	2.1	1	
1.8	2.2	3.8	10.7
2015	3950	Jeremy Lin	NA	PG	26	5	NBA	LAL	
74	30	1907	5.2	12.3	0.424	1.2	3.3	0.369	4	
9	0.444	4	5.1	0.795	0.5	3.2	3.7	6.4	1.5	
0.6	3.1	3.6	15.7
2015	3826	Jerryd Bayless	NA	PG	26	7	NBA	MIL	
77	4	1717	4.6	10.8	0.426	0.8	2.5	0.308	3.8	
8.3	0.462	2.5	2.9	0.883	0.5	4	4.4	4.9	1.2	
0.3	2.8	3.4	12.5
2015	4023	Jimmy Butler	NA	SG	25	4	NBA	CHI	
65	65	2513	6	13.1	0.462	1	2.8	0.378	5	
10.3	0.484	5.5	6.6	0.834	1.6	3.8	5.4	3	1.6	
0.5	1.3	1.5	18.6
2015	3763	Joakim Noah	NA	C	29	8	NBA	CHI	
67	67	2049	3.3	7.5	0.445	0	0	0	3.3	
7.5	0.447	1.8	3.1	0.603	3.8	7.5	11.3	5.5	0.8	
1.3	2.2	3.6	8.5
2015	4261	Joe Ingles	NA	SF	27	1	NBA	UTA	
79	32	1673	3.2	7.6	0.415	1.5	4.3	0.356	1.6	
3.3	0.493	0.6	0.9	0.75	0.5	3.3	3.8	3.9	1.5	
0.2	2.1	2.7	8.5
2015	3327	Joe Johnson	NA	SG	33	14	NBA	BRK	
80	80	2791	5.8	13.2	0.435	1.6	4.3	0.359	4.2	
8.9	0.472	1.8	2.3	0.801	0.7	4.3	5	3.8	0.8	
0.2	1.8	1.5	14.9
2015	3829	Joey Dorsey	NA	PF	31	4	NBA	HOU	
69	17	854	3.4	6.1	0.552	0	0	0	3.4	
6.1	0.556	1	3.5	0.289	4.3	7.4	11.8	1.1	1.7	
1.1	1.7	6.6	7.8
2015	4098	John Henson	NA	C	24	3	NBA	MIL	
67	11	1228	5.7	10.1	0.566	0	0	NA	5.7	
10.1	0.566	2.3	4	0.569	3.6	5.5	9.1	1.7	0.8	
4	2.6	4.5	13.8
2015	3951	John Wall	NA	PG	24	5	NBA	WAS	
79	79	2837	6.6	14.8	0.445	0.8	2.8	0.3	5.8	
12	0.478	3.6	4.6	0.785	0.5	4.2	4.6	10.1	1.8	
0.6	3.9	2.3	17.6
2015	4024	Jon Leuer	NA	PF	25	4	NBA	MEM	
63	6	824	5.3	11.9	0.443	0.3	1.3	0.241	5	
10.7	0.467	1.6	2.6	0.627	2.2	6.9	9	2	0.7	
0.4	1.5	3.8	12.5
2015	3888	Jonas Jerebko	NA	PF	27	5	NBA	TOT	
75	0	1230	4.9	11.1	0.446	1.6	4.1	0.386	3.4	
7	0.481	1.6	1.9	0.848	2.7	5.5	8.3	2.1	1.3	
0.5	1.3	4	13.1
